method,size,split,seed,instance_id,Cmax_roll,average_completion_time,average_waiting_time,machine_utilization,load_balance_std,split_task_ratio,total_split_count,inference_time,candidate_mode,split_rule,notes
MinCandidateLoad,small,test,170001,small_test_0001_seed_170001,190.2100667024157,113.96642173663015,8.580461321047238,0.6191217632751741,45.530530633289914,0.4166666666666667,12.0,0.0011159999994561076,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170001,small_test_0001_seed_170001,191.00518681365742,112.90260586604683,11.289320980785595,0.621098573349646,46.97009754286437,0.4166666666666667,12.0,0.10733880003681406,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170002,small_test_0002_seed_170002,313.9512704279818,162.47289132198736,38.72719871994726,0.43567418399162927,61.65321051950613,0.375,9.0,0.0012249000137671828,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170002,small_test_0002_seed_170002,291.7544387929439,146.03649143255475,25.50184049718133,0.4659080760982049,58.788132767989495,0.375,9.0,0.0011777000036090612,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170002,small_test_0002_seed_170002,319.585438792944,153.24891195321436,31.569177684507583,0.4269375835793873,60.90321981588357,0.375,9.0,0.0012083000037819147,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170002,small_test_0002_seed_170002,313.9512704279818,171.3724234766636,47.83848087462354,0.4416874010755531,58.52269090887353,0.375,9.0,0.0011959000257775187,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170002,small_test_0002_seed_170002,291.7544387929439,147.63019976588808,27.556423830514664,0.4713201617087365,57.53530605229876,0.375,9.0,0.0012143999920226634,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170002,small_test_0002_seed_170002,291.754438792944,145.52988964818604,25.351363712812645,0.4659080760982049,58.7881327679895,0.375,9.0,0.11539829999674112,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170003,small_test_0003_seed_170003,209.12409255838395,133.36280438618348,20.681033868577348,0.589782782019493,33.550859318966786,0.4166666666666667,11.0,0.0010430999682284892,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170003,small_test_0003_seed_170003,200.028,120.0434921705204,6.148112384592835,0.6206581205082967,34.565369040376964,0.4166666666666667,11.0,0.001027699967380613,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170003,small_test_0003_seed_170003,238.461287575107,142.4037435416744,30.61750036519814,0.5244687917853696,33.9689126322618,0.4166666666666667,11.0,0.0011375000467523932,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170003,small_test_0003_seed_170003,223.3164889255739,150.2753058369747,35.73046049375604,0.5522954237976369,38.463636592075616,0.4166666666666667,11.0,0.00119570002425462,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170003,small_test_0003_seed_170003,213.1201173718457,132.42615157069034,18.99583103827145,0.5807834932038862,42.4997800650197,0.4166666666666667,11.0,0.0011261999607086182,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170003,small_test_0003_seed_170003,217.15613308400242,122.0467315131292,14.625456079555965,0.5770604439738842,34.175025854718974,0.4166666666666667,11.0,0.10593000001972541,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170004,small_test_0004_seed_170004,230.3323308535755,152.12527339930418,42.55070092600346,0.49838769319014536,38.712926451458515,0.4583333333333333,11.0,0.0025872000260278583,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170004,small_test_0004_seed_170004,217.47727865256263,119.73456572331878,10.693274404420956,0.5293221110859213,31.844874185903336,0.4583333333333333,11.0,0.0011616999981924891,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170004,small_test_0004_seed_170004,238.99475864654056,141.05389971243653,30.83962543092908,0.4847438797042708,33.194154786364024,0.4583333333333333,11.0,0.0012379999971017241,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170004,small_test_0004_seed_170004,243.6583238383155,161.1077840322264,46.34091052355973,0.4688255452791824,38.79651479956728,0.4583333333333333,11.0,0.0013401999603956938,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
