size,split,ordering,split_strategy,num_instances,Cmax_roll_mean,Cmax_roll_std,average_completion_time_mean,average_completion_time_std,average_waiting_time_mean,average_waiting_time_std,machine_utilization_mean,machine_utilization_std,split_task_ratio_mean,split_task_ratio_std,total_split_count_mean,total_split_count_std,inference_time_mean,inference_time_std,valid_ratio,overlap_violation_mean,release_time_violation_mean,machine_eligibility_violation_mean,split_ratio_violation_mean,processing_time_violation_mean,completion_time_violation_mean,cmax_check_pass_ratio
large,test,FIFO,EqualSplit,50,526.1832083333334,22.17427393492696,271.6140862878788,12.997147782569346,3.3875275631313126,1.4527649718656008,0.5057948340518803,0.02608162860073986,0.678030303030303,0.03320395000122899,156.92,10.472516412018651,0.009666826002066954,0.000594080389081497,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
large,test,FIFO,GreedyECTSplit,50,525.8179217923888,22.855326313620704,271.4409634642113,13.001377719831751,3.287140797057971,1.3664313090401021,0.502275497413776,0.025948842987385177,0.678030303030303,0.03320395000122899,156.92,10.472516412018651,0.009898621999891475,0.000645710181147241,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
large,test,FIFO,MaxSplit,50,525.8179217923888,22.855326313620704,271.4409634642113,13.001377719831751,3.287140797057971,1.3664313090401021,0.502275497413776,0.025948842987385177,0.678030303030303,0.03320395000122899,156.92,10.472516412018651,0.009880173995625227,0.0009204945621454518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
large,test,FIFO,NoSplit,50,532.60222,20.070125849421082,279.6312142424242,12.791507387319202,3.708095303030303,1.5075696202692879,0.48542687232390125,0.024900110001317914,0.0,0.0,0.0,0.0,0.009620731998002157,0.0006816826522562303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
large,test,FIFO,OracleSplitDebug,50,524.9876607232021,22.629150255939717,274.78684669734326,13.081255063521315,3.657161108350724,1.4335657036157066,0.49670954260350864,0.02377091068957872,0.2960606060606061,0.06169178998320195,49.18,10.652117160452189,0.011927695997292176,0.0006599810056480108,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
large,test,FIFO,RandomSplit,50,531.8352940652794,22.445764559577412,275.0803143770146,13.043662478753463,3.5544932756001777,1.4601156433338367,0.491492647177966,0.026271581151210553,0.3974242424242424,0.03004473249029226,76.7,6.949100661236676,0.009914100001333281,0.0007210195380404705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
large,test,FIFO,SpeedRatioSplit,50,525.8179217923888,22.855326313620704,271.4409634642113,13.001377719831751,3.287140797057971,1.3664313090401021,0.502275497413776,0.025948842987385177,0.678030303030303,0.03320395000122899,156.92,10.472516412018651,0.009883533995598555,0.0005554748761617172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
large,test,GreedyECT,EqualSplit,50,547.11169,28.467110935819132,275.5363967929293,12.80569504466894,9.918105681818181,3.3953679536176926,0.4906563568054744,0.023661904780289546,0.678030303030303,0.03320395000122899,156.92,10.472516412018651,0.016356932002818212,0.0012151098232980936,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
large,test,GreedyECT,GreedyECTSplit,50,545.1513595019575,26.520355376338372,275.02322457492,12.764167296670344,9.828430270158941,3.0694309659153935,0.48858607590292563,0.021916174697297914,0.678030303030303,0.03320395000122899,156.92,10.472516412018651,0.017667147994507103,0.0012208044567272437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
large,test,GreedyECT,MaxSplit,50,545.1513595019575,26.520355376338372,275.02322457492,12.764167296670344,9.828430270158941,3.0694309659153935,0.48858607590292563,0.021916174697297914,0.678030303030303,0.03320395000122899,156.92,10.472516412018651,0.01779027600074187,0.0013526697529003266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
