method,size,split,top_k,instance_id,Cmax_roll,average_completion_time,average_waiting_time,machine_utilization,load_balance_std,split_task_ratio,total_split_count,inference_time,is_valid_schedule,num_overlap_violations,num_release_time_violations,num_machine_eligibility_violations,num_split_ratio_violations,num_processing_time_violations,num_completion_time_violations,cmax_check_passed
all_legal_random,small,test,5,small_test_0000_seed_170000,301.9819206887308,159.76799621960456,36.600069805982834,0.5023753311498549,37.681490973278336,0.5416666666666666,14.0,0.0009238999919034541,True,0,0,0,0,0,0,True
hybrid_topk_random,small,test,5,small_test_0000_seed_170000,250.41892068873076,139.00072613306136,24.099287295286796,0.6107016471080262,35.22704361384317,0.5416666666666666,14.0,0.011190399993211031,True,0,0,0,0,0,0,True
fifo_topk_greedy,small,test,5,small_test_0000_seed_170000,267.8689206887307,137.50385085257938,26.00598290894989,0.5679263513252868,37.93451721853047,0.5416666666666666,14.0,0.001512999995611608,True,0,0,0,0,0,0,True
greedy_ect_topk_greedy,small,test,5,small_test_0000_seed_170000,267.8689206887307,140.88282904148696,30.60279254845175,0.5679263513252868,37.93451721853047,0.5416666666666666,14.0,0.00219580001430586,True,0,0,0,0,0,0,True
lookahead_topk_greedy,small,test,5,small_test_0000_seed_170000,253.15992068873072,135.93441656836254,22.068564692405175,0.60883064581004,35.71453228314842,0.5416666666666666,14.0,0.005997100030072033,True,0,0,0,0,0,0,True
hybrid_topk_greedy,small,test,5,small_test_0000_seed_170000,267.8689206887307,140.88282904148696,30.60279254845175,0.5679263513252868,37.93451721853047,0.5416666666666666,14.0,0.009004299994558096,True,0,0,0,0,0,0,True
hybrid_topk_oracle_debug,small,test,5,small_test_0000_seed_170000,267.8689206887307,140.88282904148696,30.60279254845175,0.5679263513252868,37.93451721853047,0.5416666666666666,14.0,0.009814499993808568,True,0,0,0,0,0,0,True
