method,size,split,top_k,num_instances,Cmax_roll_mean,Cmax_roll_std,average_completion_time_mean,average_completion_time_std,average_waiting_time_mean,average_waiting_time_std,machine_utilization_mean,machine_utilization_std,load_balance_std_mean,load_balance_std_std,split_task_ratio_mean,split_task_ratio_std,total_split_count_mean,total_split_count_std,inference_time_mean,inference_time_std,valid_ratio,cmax_check_pass_ratio
all_legal_random,small,test,5,1,301.9819206887308,0.0,159.76799621960456,0.0,36.600069805982834,0.0,0.5023753311498549,0.0,37.681490973278336,0.0,0.5416666666666666,0.0,14.0,0.0,0.0009238999919034541,0.0,1.0,1.0
fifo_topk_greedy,small,test,5,1,267.8689206887307,0.0,137.50385085257938,0.0,26.00598290894989,0.0,0.5679263513252868,0.0,37.93451721853047,0.0,0.5416666666666666,0.0,14.0,0.0,0.001512999995611608,0.0,1.0,1.0
greedy_ect_topk_greedy,small,test,5,1,267.8689206887307,0.0,140.88282904148696,0.0,30.60279254845175,0.0,0.5679263513252868,0.0,37.93451721853047,0.0,0.5416666666666666,0.0,14.0,0.0,0.00219580001430586,0.0,1.0,1.0
hybrid_topk_greedy,small,test,5,1,267.8689206887307,0.0,140.88282904148696,0.0,30.60279254845175,0.0,0.5679263513252868,0.0,37.93451721853047,0.0,0.5416666666666666,0.0,14.0,0.0,0.009004299994558096,0.0,1.0,1.0
hybrid_topk_oracle_debug,small,test,5,1,267.8689206887307,0.0,140.88282904148696,0.0,30.60279254845175,0.0,0.5679263513252868,0.0,37.93451721853047,0.0,0.5416666666666666,0.0,14.0,0.0,0.009814499993808568,0.0,1.0,1.0
hybrid_topk_random,small,test,5,1,250.41892068873076,0.0,139.00072613306136,0.0,24.099287295286796,0.0,0.6107016471080262,0.0,35.22704361384317,0.0,0.5416666666666666,0.0,14.0,0.0,0.011190399993211031,0.0,1.0,1.0
lookahead_topk_greedy,small,test,5,1,253.15992068873072,0.0,135.93441656836254,0.0,22.068564692405175,0.0,0.60883064581004,0.0,35.71453228314842,0.0,0.5416666666666666,0.0,14.0,0.0,0.005997100030072033,0.0,1.0,1.0
